# @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
# Peter Rasmussen: Lab 4
# Unsorted and sorted lists and sorted list performance metrics.
# Input file: /Users/peter/PycharmProjects/PRasmussenLab4/resources/inputs/asc5.dat
# Output file: /Users/peter/PycharmProjects/PRasmussenLab4/resources/outputs/asc5.csv

metric,unsorted,heap_sort,two_way_merge,three_way_merge,four_way_merge,natural_merge
n,5,5,5,5,5,5
n_comparisons,N/A,22,8,7,10,4
n_exchanges,N/A,10,10,7,7,0
n_partition_calls,N/A,0,4,4,4,5
elapsed_ns,N/A,1086000,183000,92000,84000,50000
,,,,,,
ix,unsorted,heap_sort,two_way_merge,three_way_merge,four_way_merge,natural_merge
0,1,1,1,1,1,1
1,2,2,2,2,2,2
2,3,3,3,3,3,3
3,4,4,4,4,4,4
4,5,5,5,5,5,5
