# @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
# Peter Rasmussen: Lab 4
# Unsorted and sorted lists and sorted list performance metrics.
# Input file: /Users/peter/PycharmProjects/PRasmussenLab4/resources/inputs/dup50.dat
# Output file: /Users/peter/PycharmProjects/PRasmussenLab4/resources/outputs/dup50.csv

metric,unsorted,heap_sort,two_way_merge,three_way_merge,four_way_merge,natural_merge
n,50,50,50,50,50,50
n_comparisons,N/A,698,231,476,854,232
n_exchanges,N/A,239,209,175,158,150
n_partition_calls,N/A,0,49,49,49,50
elapsed_ns,N/A,432000,994000,662000,490000,435000
,,,,,,
ix,unsorted,heap_sort,two_way_merge,three_way_merge,four_way_merge,natural_merge
0,47,1,1,1,1,1
1,17,2,2,2,2,2
2,39,3,3,3,3,3
3,30,4,4,4,4,4
4,8,4,4,4,4,4
5,44,5,5,5,5,5
6,3,6,6,6,6,6
7,27,8,8,8,8,8
8,36,9,9,9,9,9
9,12,12,12,12,12,12
10,49,12,12,12,12,12
11,37,13,13,13,13,13
12,45,14,14,14,14,14
13,28,15,15,15,15,15
14,16,16,16,16,16,16
15,46,17,17,17,17,17
16,13,17,17,17,17,17
17,35,19,19,19,19,19
18,23,20,20,20,20,20
19,25,21,21,21,21,21
20,15,22,22,22,22,22
21,41,23,23,23,23,23
22,44,25,25,25,25,25
23,19,26,26,26,26,26
24,46,27,27,27,27,27
25,9,28,28,28,28,28
26,34,29,29,29,29,29
27,4,30,30,30,30,30
28,48,31,31,31,31,31
29,22,34,34,34,34,34
30,14,35,35,35,35,35
31,12,36,36,36,36,36
32,45,37,37,37,37,37
33,2,39,39,39,39,39
34,17,39,39,39,39,39
35,29,40,40,40,40,40
36,40,41,41,41,41,41
37,5,41,41,41,41,41
38,46,41,41,41,41,41
39,20,42,42,42,42,42
40,21,44,44,44,44,44
41,41,44,44,44,44,44
42,4,45,45,45,45,45
43,41,45,45,45,45,45
44,31,46,46,46,46,46
45,26,46,46,46,46,46
46,6,46,46,46,46,46
47,42,47,47,47,47,47
48,1,48,48,48,48,48
49,39,49,49,49,49,49
