# @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
# Peter Rasmussen, Lab 4
# Unsorted and sorted lists and sorted list performance metrics.
# Input file: /users/peter/PycharmProjects/PRasmussenLab4/resources/inputs/ran2k.dat
# Output file: /users/peter/PycharmProjects/PRasmussenLab4/resources/outputs/ran2k.csv

metric,unsorted,heap_sort,two_way_merge,three_way_merge,four_way_merge
n,2000,2000,2000,2000,2000
n_comparisons,N/A,70965,19451,46313,62451
n_exchanges,N/A,20164,13585,11189,10302
n_partition_calls,N/A,0,1999,1999,1999
,,,,,
ix,unsorted,heap_sort,two_way_merge,three_way_merge,four_way_merge
0,1936,1,1,1,1
1,423,2,2,2,2
2,430,3,3,3,3
3,657,4,4,4,4
4,985,5,5,5,5
5,881,6,6,6,6
6,5,7,7,7,7
7,1970,8,8,8,8
8,181,9,9,9,9
9,678,10,10,10,10
10,11,11,11,11,11
11,1367,12,12,12,12
12,615,13,13,13,13
13,120,14,14,14,14
14,1929,15,15,15,15
15,958,16,16,16,16
16,104,17,17,17,17
17,153,18,18,18,18
18,1814,19,19,19,19
19,582,20,20,20,20
20,1126,21,21,21,21
21,1337,22,22,22,22
22,943,23,23,23,23
23,1561,24,24,24,24
24,1657,25,25,25,25
25,998,26,26,26,26
26,1641,27,27,27,27
27,1750,28,28,28,28
28,263,29,29,29,29
29,1055,30,30,30,30
30,478,31,31,31,31
31,345,32,32,32,32
32,1058,33,33,33,33
33,618,34,34,34,34
34,1271,35,35,35,35
35,485,36,36,36,36
36,1042,37,37,37,37
37,1386,38,38,38,38
38,558,39,39,39,39
39,1862,40,40,40,40
40,1437,41,41,41,41
41,190,42,42,42,42
42,1463,43,43,43,43
43,848,44,44,44,44
44,806,45,45,45,45
45,1571,46,46,46,46
46,1153,47,47,47,47
47,711,48,48,48,48
48,1373,49,49,49,49
49,1541,50,50,50,50
50,1645,51,51,51,51
51,1671,52,52,52,52
52,86,53,53,53,53
53,1230,54,54,54,54
54,1188,55,55,55,55
55,234,56,56,56,56
56,1143,57,57,57,57
57,674,58,58,58,58
58,379,59,59,59,59
59,1674,60,60,60,60
60,1342,61,61,61,61
61,359,62,62,62,62
62,748,63,63,63,63
63,1999,64,64,64,64
64,1891,65,65,65,65
65,1219,66,66,66,66
66,54,67,67,67,67
67,1604,68,68,68,68
68,116,69,69,69,69
69,891,70,70,70,70
70,1871,71,71,71,71
71,1418,72,72,72,72
72,454,73,73,73,73
73,1554,74,74,74,74
74,490,75,75,75,75
75,1873,76,76,76,76
76,1466,77,77,77,77
77,292,78,78,78,78
78,680,79,79,79,79
79,159,80,80,80,80
80,290,81,81,81,81
81,1216,82,82,82,82
82,96,83,83,83,83
83,1601,84,84,84,84
84,27,85,85,85,85
85,668,86,86,86,86
86,386,87,87,87,87
87,493,88,88,88,88
88,1191,89,89,89,89
89,1278,90,90,90,90
90,1023,91,91,91,91
91,1612,92,92,92,92
92,1973,93,93,93,93
93,187,94,94,94,94
94,1012,95,95,95,95
95,732,96,96,96,96
96,1384,97,97,97,97
97,1661,98,98,98,98
98,1362,99,99,99,99
99,1474,100,100,100,100
100,1848,101,101,101,101
101,284,102,102,102,102
102,1306,103,103,103,103
103,1704,104,104,104,104
104,1331,105,105,105,105
105,536,106,106,106,106
106,1689,107,107,107,107
107,1270,108,108,108,108
108,1642,109,109,109,109
109,1419,110,110,110,110
110,1775,111,111,111,111
111,620,112,112,112,112
112,833,113,113,113,113
113,268,114,114,114,114
114,738,115,115,115,115
115,1009,116,116,116,116
116,1815,117,117,117,117
117,849,118,118,118,118
118,1095,119,119,119,119
119,629,120,120,120,120
120,99,121,121,121,121
121,983,122,122,122,122
122,193,123,123,123,123
123,1064,124,124,124,124
124,573,125,125,125,125
125,1860,126,126,126,126
126,97,127,127,127,127
127,1596,128,128,128,128
128,325,129,129,129,129
129,249,130,130,130,130
130,1387,131,131,131,131
131,1227,132,132,132,132
132,817,133,133,133,133
133,756,134,134,134,134
134,1162,135,135,135,135
135,945,136,136,136,136
136,977,137,137,137,137
137,654,138,138,138,138
138,1921,139,139,139,139
139,679,140,140,140,140
140,1829,141,141,141,141
141,1502,142,142,142,142
142,1709,143,143,143,143
143,62,144,144,144,144
144,1391,145,145,145,145
145,521,146,146,146,146
146,720,147,147,147,147
147,786,148,148,148,148
148,1096,149,149,149,149
149,256,150,150,150,150
150,182,151,151,151,151
151,1332,152,152,152,152
152,403,153,153,153,153
153,1070,154,154,154,154
154,19,155,155,155,155
155,1147,156,156,156,156
156,1184,157,157,157,157
157,1543,158,158,158,158
158,572,159,159,159,159
159,1351,160,160,160,160
160,1573,161,161,161,161
161,334,162,162,162,162
162,278,163,163,163,163
163,80,164,164,164,164
164,422,165,165,165,165
165,1614,166,166,166,166
166,291,167,167,167,167
167,1728,168,168,168,168
168,1783,169,169,169,169
169,606,170,170,170,170
170,1314,171,171,171,171
171,1180,172,172,172,172
172,1894,173,173,173,173
173,1435,174,174,174,174
174,1054,175,175,175,175
175,1506,176,176,176,176
176,1958,177,177,177,177
177,1033,178,178,178,178
178,581,179,179,179,179
179,917,180,180,180,180
180,282,181,181,181,181
181,1966,182,182,182,182
182,1837,183,183,183,183
183,686,184,184,184,184
184,1030,185,185,185,185
185,1261,186,186,186,186
186,4,187,187,187,187
187,1969,188,188,188,188
188,1801,189,189,189,189
189,1400,190,190,190,190
190,862,191,191,191,191
191,170,192,192,192,192
192,1662,193,193,193,193
193,1467,194,194,194,194
194,1608,195,195,195,195
195,1776,196,196,196,196
196,244,197,197,197,197
197,715,198,198,198,198
198,1647,199,199,199,199
199,1540,200,200,200,200
200,1137,201,201,201,201
201,1226,202,202,202,202
202,1181,203,203,203,203
203,1724,204,204,204,204
204,1005,205,205,205,205
205,999,206,206,206,206
206,203,207,207,207,207
207,1431,208,208,208,208
208,1356,209,209,209,209
209,973,210,210,210,210
210,1680,211,211,211,211
211,512,212,212,212,212
212,625,213,213,213,213
213,1960,214,214,214,214
214,1626,215,215,215,215
215,776,216,216,216,216
216,382,217,217,217,217
217,939,218,218,218,218
218,1822,219,219,219,219
219,1045,220,220,220,220
220,162,221,221,221,221
221,398,222,222,222,222
222,1282,223,223,223,223
223,1712,224,224,224,224
224,1432,225,225,225,225
225,1804,226,226,226,226
226,1774,227,227,227,227
227,1727,228,228,228,228
228,1196,229,229,229,229
229,338,230,230,230,230
230,279,231,231,231,231
231,1520,232,232,232,232
232,1198,233,233,233,233
233,122,234,234,234,234
234,286,235,235,235,235
235,642,236,236,236,236
236,552,237,237,237,237
237,1636,238,238,238,238
238,1813,239,239,239,239
239,795,240,240,240,240
240,467,241,241,241,241
241,211,242,242,242,242
242,782,243,243,243,243
243,607,244,244,244,244
244,156,245,245,245,245
245,990,246,246,246,246
246,892,247,247,247,247
247,1521,248,248,248,248
248,1067,249,249,249,249
249,1495,250,250,250,250
250,1542,251,251,251,251
