# @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
# Peter Rasmussen: Lab 4
# Unsorted and sorted lists and sorted list performance metrics.
# Input file: /Users/peter/PycharmProjects/PRasmussenLab4/resources/inputs/ran50.dat
# Output file: /Users/peter/PycharmProjects/PRasmussenLab4/resources/outputs/ran50.csv

metric,unsorted,heap_sort,two_way_merge,three_way_merge,four_way_merge,natural_merge
n,50,50,50,50,50,50
n_comparisons,N/A,743,226,419,668,226
n_exchanges,N/A,246,203,175,153,148
n_partition_calls,N/A,0,49,49,49,50
elapsed_ns,N/A,587000,1164000,1056000,944000,954000
,,,,,,
ix,unsorted,heap_sort,two_way_merge,three_way_merge,four_way_merge,natural_merge
0,43,1,1,1,1,1
1,16,2,2,2,2,2
2,48,3,3,3,3,3
3,4,4,4,4,4,4
4,12,5,5,5,5,5
5,21,6,6,6,6,6
6,37,7,7,7,7,7
7,36,8,8,8,8,8
8,3,9,9,9,9,9
9,14,10,10,10,10,10
10,50,11,11,11,11,11
11,28,12,12,12,12,12
12,27,13,13,13,13,13
13,39,14,14,14,14,14
14,35,15,15,15,15,15
15,7,16,16,16,16,16
16,5,17,17,17,17,17
17,11,18,18,18,18,18
18,9,19,19,19,19,19
19,23,20,20,20,20,20
20,15,21,21,21,21,21
21,44,22,22,22,22,22
22,47,23,23,23,23,23
23,17,24,24,24,24,24
24,38,25,25,25,25,25
25,45,26,26,26,26,26
26,26,27,27,27,27,27
27,33,28,28,28,28,28
28,20,29,29,29,29,29
29,8,30,30,30,30,30
30,18,31,31,31,31,31
31,19,32,32,32,32,32
32,30,33,33,33,33,33
33,46,34,34,34,34,34
34,29,35,35,35,35,35
35,40,36,36,36,36,36
36,34,37,37,37,37,37
37,32,38,38,38,38,38
38,22,39,39,39,39,39
39,42,40,40,40,40,40
40,13,41,41,41,41,41
41,31,42,42,42,42,42
42,2,43,43,43,43,43
43,41,44,44,44,44,44
44,6,45,45,45,45,45
45,10,46,46,46,46,46
46,49,47,47,47,47,47
47,24,48,48,48,48,48
48,25,49,49,49,49,49
49,1,50,50,50,50,50
