# @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
# Peter Rasmussen, Lab 4
# Unsorted and sorted lists and sorted list performance metrics.
# Input file: /users/peter/PycharmProjects/PRasmussenLab4/resources/inputs/ran500.dat
# Output file: /users/peter/PycharmProjects/PRasmussenLab4/resources/outputs/ran500.csv

metric,unsorted,heap_sort,two_way_merge,three_way_merge,four_way_merge
n,500,500,500,500,500
n_comparisons,N/A,13687,3865,9206,11878
n_exchanges,N/A,4026,2909,2399,2199
n_partition_calls,N/A,0,499,499,499
,,,,,
ix,unsorted,heap_sort,two_way_merge,three_way_merge,four_way_merge
0,91,1,1,1,1
1,492,2,2,2,2
2,191,3,3,3,3
3,275,4,4,4,4
4,176,5,5,5,5
5,160,6,6,6,6
6,137,7,7,7,7
7,108,8,8,8,8
8,184,9,9,9,9
9,172,10,10,10,10
10,338,11,11,11,11
11,219,12,12,12,12
12,146,13,13,13,13
13,270,14,14,14,14
14,428,15,15,15,15
15,129,16,16,16,16
16,410,17,17,17,17
17,120,18,18,18,18
18,387,19,19,19,19
19,258,20,20,20,20
20,74,21,21,21,21
21,370,22,22,22,22
22,246,23,23,23,23
23,143,24,24,24,24
24,78,25,25,25,25
25,228,26,26,26,26
26,439,27,27,27,27
27,356,28,28,28,28
28,374,29,29,29,29
29,231,30,30,30,30
30,45,31,31,31,31
31,164,32,32,32,32
32,495,33,33,33,33
33,459,34,34,34,34
34,323,35,35,35,35
35,380,36,36,36,36
36,235,37,37,37,37
37,485,38,38,38,38
38,85,39,39,39,39
39,53,40,40,40,40
40,154,41,41,41,41
41,187,42,42,42,42
42,343,43,43,43,43
43,493,44,44,44,44
44,205,45,45,45,45
45,468,46,46,46,46
46,181,47,47,47,47
47,290,48,48,48,48
48,470,49,49,49,49
49,80,50,50,50,50
50,417,51,51,51,51
51,325,52,52,52,52
52,82,53,53,53,53
53,66,54,54,54,54
54,49,55,55,55,55
55,105,56,56,56,56
56,487,57,57,57,57
57,118,58,58,58,58
58,68,59,59,59,59
59,117,60,60,60,60
60,222,61,61,61,61
61,204,62,62,62,62
62,483,63,63,63,63
63,346,64,64,64,64
64,75,65,65,65,65
65,166,66,66,66,66
66,475,67,67,67,67
67,448,68,68,68,68
68,365,69,69,69,69
69,391,70,70,70,70
70,461,71,71,71,71
71,395,72,72,72,72
72,203,73,73,73,73
73,169,74,74,74,74
74,420,75,75,75,75
75,360,76,76,76,76
76,121,77,77,77,77
77,466,78,78,78,78
78,359,79,79,79,79
79,44,80,80,80,80
80,144,81,81,81,81
81,376,82,82,82,82
82,364,83,83,83,83
83,93,84,84,84,84
84,95,85,85,85,85
85,27,86,86,86,86
86,238,87,87,87,87
87,355,88,88,88,88
88,261,89,89,89,89
89,328,90,90,90,90
90,50,91,91,91,91
91,367,92,92,92,92
92,190,93,93,93,93
93,423,94,94,94,94
94,272,95,95,95,95
95,201,96,96,96,96
96,111,97,97,97,97
97,489,98,98,98,98
98,377,99,99,99,99
99,371,100,100,100,100
100,319,101,101,101,101
101,274,102,102,102,102
102,431,103,103,103,103
103,253,104,104,104,104
