# @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
# Peter Rasmussen: Lab 4
# Unsorted and sorted lists and sorted list performance metrics.
# Input file: /Users/peter/PycharmProjects/PRasmussenLab4/resources/inputs/rev1k.dat
# Output file: /Users/peter/PycharmProjects/PRasmussenLab4/resources/outputs/rev1k.csv

metric,unsorted,heap_sort,two_way_merge,three_way_merge,four_way_merge,natural_merge
n,1000,1000,1000,1000,1000,1000
n_comparisons,N/A,27997,4932,13530,23242,4932
n_exchanges,N/A,8316,6932,5584,5063,6932
n_partition_calls,N/A,0,999,999,999,1000
elapsed_ns,N/A,16465000,17701000,12779000,16624000,13895000
,,,,,,
ix,unsorted,heap_sort,two_way_merge,three_way_merge,four_way_merge,natural_merge
0,1000,1,1,1,1,1
1,999,2,2,2,2,2
2,998,3,3,3,3,3
3,997,4,4,4,4,4
4,996,5,5,5,5,5
5,995,6,6,6,6,6
6,994,7,7,7,7,7
7,993,8,8,8,8,8
8,992,9,9,9,9,9
9,991,10,10,10,10,10
10,990,11,11,11,11,11
11,989,12,12,12,12,12
12,988,13,13,13,13,13
13,987,14,14,14,14,14
14,986,15,15,15,15,15
15,985,16,16,16,16,16
16,984,17,17,17,17,17
17,983,18,18,18,18,18
18,982,19,19,19,19,19
19,981,20,20,20,20,20
20,980,21,21,21,21,21
21,979,22,22,22,22,22
22,978,23,23,23,23,23
23,977,24,24,24,24,24
24,976,25,25,25,25,25
25,975,26,26,26,26,26
26,974,27,27,27,27,27
27,973,28,28,28,28,28
28,972,29,29,29,29,29
29,971,30,30,30,30,30
30,970,31,31,31,31,31
31,969,32,32,32,32,32
32,968,33,33,33,33,33
33,967,34,34,34,34,34
34,966,35,35,35,35,35
35,965,36,36,36,36,36
36,964,37,37,37,37,37
37,963,38,38,38,38,38
38,962,39,39,39,39,39
39,961,40,40,40,40,40
40,960,41,41,41,41,41
41,959,42,42,42,42,42
42,958,43,43,43,43,43
43,957,44,44,44,44,44
44,956,45,45,45,45,45
45,955,46,46,46,46,46
46,954,47,47,47,47,47
47,953,48,48,48,48,48
48,952,49,49,49,49,49
49,951,50,50,50,50,50
