# @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
# Peter Rasmussen: Lab 4
# Unsorted and sorted lists and sorted list performance metrics.
# Input file: /Users/peter/PycharmProjects/PRasmussenLab4/resources/inputs/rev500.dat
# Output file: /Users/peter/PycharmProjects/PRasmussenLab4/resources/outputs/rev500.csv

metric,unsorted,heap_sort,two_way_merge,three_way_merge,four_way_merge,natural_merge
n,500,500,500,500,500,500
n_comparisons,N/A,12145,2216,6054,9551,2216
n_exchanges,N/A,3676,3216,2651,2402,3216
n_partition_calls,N/A,0,499,499,499,500
elapsed_ns,N/A,8313000,6674000,7146000,8785000,6639000
,,,,,,
ix,unsorted,heap_sort,two_way_merge,three_way_merge,four_way_merge,natural_merge
0,500,1,1,1,1,1
1,499,2,2,2,2,2
2,498,3,3,3,3,3
3,497,4,4,4,4,4
4,496,5,5,5,5,5
5,495,6,6,6,6,6
6,494,7,7,7,7,7
7,493,8,8,8,8,8
8,492,9,9,9,9,9
9,491,10,10,10,10,10
10,490,11,11,11,11,11
11,489,12,12,12,12,12
12,488,13,13,13,13,13
13,487,14,14,14,14,14
14,486,15,15,15,15,15
15,485,16,16,16,16,16
16,484,17,17,17,17,17
17,483,18,18,18,18,18
18,482,19,19,19,19,19
19,481,20,20,20,20,20
20,480,21,21,21,21,21
21,479,22,22,22,22,22
22,478,23,23,23,23,23
23,477,24,24,24,24,24
24,476,25,25,25,25,25
25,475,26,26,26,26,26
26,474,27,27,27,27,27
27,473,28,28,28,28,28
28,472,29,29,29,29,29
29,471,30,30,30,30,30
30,470,31,31,31,31,31
31,469,32,32,32,32,32
32,468,33,33,33,33,33
33,467,34,34,34,34,34
34,466,35,35,35,35,35
35,465,36,36,36,36,36
36,464,37,37,37,37,37
37,463,38,38,38,38,38
38,462,39,39,39,39,39
39,461,40,40,40,40,40
40,460,41,41,41,41,41
41,459,42,42,42,42,42
42,458,43,43,43,43,43
43,457,44,44,44,44,44
44,456,45,45,45,45,45
45,455,46,46,46,46,46
46,454,47,47,47,47,47
47,453,48,48,48,48,48
48,452,49,49,49,49,49
49,451,50,50,50,50,50
